,played_at,track_name,explicit,duration_ms,type,playlist_url
1632,2017-06-17T08:32:34.382Z,Perfect World,False,384426,playlist,https://open.spotify.com/user/1170891844/playlist/5ZSewQun1V59quoFUx23UF
1633,2017-04-10T11:54:41.588Z,You Give Love A Bad Name,False,223733,playlist,
1634,2017-05-14T11:42:10.161Z,Slow Down,False,320514,album,
1635,2017-06-24T22:59:53.842Z,Peace Frog,False,178773,playlist,https://open.spotify.com/user/1170891844/playlist/6LLD97iHPZRTGXixrrkqq5
1636,2017-06-04T17:56:32.637Z,Groove Is In The Heart,False,297773,album,https://open.spotify.com/album/2SRQRJDijX4d1KsVQjVFgP
1637,2017-06-23T19:21:06.166Z,Back to The Source [Mix Cut] - Egorythmia & Dual Resonance Remix,False,301314,playlist,https://open.spotify.com/user/1170891844/playlist/5w75qWvgYJPlowqC1DYUIR
1638,2017-04-21T12:33:13.301Z,Introducing The Icon,True,246176,playlist,
1639,2017-05-22T19:15:57.150Z,(Everybody Wanna Get Rich) Rite Away,False,163933,playlist,https://open.spotify.com/user/spotify/playlist/37i9dQZEVXcGxnwyDbJhDT
1640,2017-05-09T08:38:58.754Z,Can't Help This Feeling,False,202280,playlist,
1641,2017-05-14T09:39:08.573Z,Let's Stay,False,298000,playlist,
1642,2017-04-16T11:56:01.555Z,Lonesome Blues,False,222760,playlist,
1643,2017-04-21T18:26:34.835Z,Hold,False,414167,album,
1644,2017-04-21T19:28:57.276Z,Fu Man Chu,False,189440,album,
1645,2017-06-26T23:56:34.146Z,Magic Island,False,499520,playlist,https://open.spotify.com/user/1247547868/playlist/7AvfjBMGuUC1ZCYn5nI4R4
1646,2017-04-15T19:28:23.777Z,Good Morning School Girl - 2002 Remastered,False,178640,playlist,
1647,2017-05-22T21:15:52.869Z,Unfunky UFO,False,264093,,
1648,2017-06-26T21:53:03.645Z,Awareness,False,360321,playlist,https://open.spotify.com/user/1247547868/playlist/7AvfjBMGuUC1ZCYn5nI4R4
1649,2017-04-10T19:32:26.446Z,Watcha Gonna Do,False,233133,album,
1650,2017-05-24T11:20:25.506Z,Basshund,False,289523,album,https://open.spotify.com/album/1kIMVFVdytbIFuBs6iMV12
1651,2017-06-25T22:11:20.918Z,One Billion Miles Out,False,636520,album,https://open.spotify.com/album/3xmoreNKcN0AL1GUt2X8Qq
1652,2017-04-10T08:32:22.722Z,Chicken Fat,False,254160,playlist,
1653,2017-04-14T15:12:28.741Z,Utcadiploma,False,291186,playlist,
1654,2017-04-14T22:43:33.992Z,"Wanksta - From ""8 Mile"" Soundtrack",True,219400,playlist,
1655,2017-04-18T08:58:36.473Z,Tea Thyme,False,162677,playlist,
1656,2017-05-18T20:13:28.734Z,Cameras,True,269280,,
1657,2017-06-06T12:34:54.210Z,Digital Beings,False,490133,playlist,https://open.spotify.com/user/snip3rwarface/playlist/0OEieW2vRqVZRraoFsw4Z4
1658,2017-05-22T08:42:04.888Z,Right On For The Darkness,False,200453,playlist,
1659,2017-04-16T19:58:44.614Z,Talking In Technicolour - Dancefloor Deluxe Version,False,340079,album,
1660,2017-04-18T08:29:33.273Z,The Next Level,False,284080,playlist,
1661,2017-04-03T20:31:11.837Z,The High Way,True,233760,playlist,
1662,2017-06-04T18:42:51.993Z,A Deeper Love - A Deeper Love Mix,False,273693,album,https://open.spotify.com/album/2SRQRJDijX4d1KsVQjVFgP
1663,2017-05-17T13:51:31.414Z,Open Season,False,308546,playlist,
1664,2017-04-19T18:20:15.219Z,Maya,False,469626,album,
1665,2017-04-25T09:00:49.690Z,Put Me In The Trash - 2007 Remastered Version,False,215298,album,
1666,2017-05-28T15:45:05.967Z,Kraut 2016,False,327986,playlist,https://open.spotify.com/user/spotify/playlist/37i9dQZF1DX55dNU0PWnO5
1667,2017-05-18T18:18:59.722Z,Dia Ja Manche,False,276981,playlist,
1668,2017-04-14T11:35:44.899Z,Iron Works,False,270205,playlist,
1669,2017-04-23T20:40:01.427Z,Transgenic - Rust Mix,False,221026,playlist,
1670,2017-05-29T07:18:15.237Z,Isotonic Tuning,False,422500,album,https://open.spotify.com/album/0Gpzpr7DcOXAWM3lXUR1bP
1671,2017-06-27T04:54:05.333Z,Cumulus,False,594186,playlist,https://open.spotify.com/user/1247547868/playlist/7AvfjBMGuUC1ZCYn5nI4R4
1672,2017-04-19T18:56:44.402Z,Qurna - Live,False,538973,album,
1673,2017-06-23T20:08:58.636Z,Into the Light,False,431304,playlist,https://open.spotify.com/user/1170891844/playlist/5w75qWvgYJPlowqC1DYUIR
1674,2017-04-09T18:37:09.986Z,Dilemma,True,289173,playlist,
1675,2017-04-05T20:57:46.424Z,Keep on Braggin',False,318973,,
1676,2017-06-08T11:56:41.723Z,Snowflakes Catcher,False,309034,playlist,https://open.spotify.com/user/1253842/playlist/5yb4olonApvaO9LlmQXS88
1677,2017-04-09T19:55:12.489Z,Cherry Oh Baby,False,364906,playlist,
1678,2017-06-08T13:27:48.922Z,Cosmonaut,False,294933,playlist,https://open.spotify.com/user/1253842/playlist/5yb4olonApvaO9LlmQXS88
1679,2017-04-10T18:05:45.690Z,Urgency Frequency,False,267013,album,
1680,2017-04-21T17:54:15.979Z,Lust For Life,False,313533,,
1681,2017-06-25T21:20:53.407Z,Leaving Trunk,False,289560,playlist,https://open.spotify.com/user/1170891844/playlist/6LLD97iHPZRTGXixrrkqq5
1682,2017-06-24T19:47:11.287Z,True,False,286973,,
1683,2017-04-12T09:26:51.208Z,Immerse - Original Mix,False,482026,album,
1684,2017-04-24T12:48:07.077Z,Little Walter Rides Again,False,233533,playlist,
1685,2017-04-06T09:54:22.014Z,It Wasn't Me,False,227600,playlist,
1686,2017-05-29T07:58:11.500Z,Semifluid Substances,False,497250,album,https://open.spotify.com/album/0Gpzpr7DcOXAWM3lXUR1bP
1687,2017-06-27T05:33:53.644Z,Periscopes Of Consciousness,False,113800,playlist,https://open.spotify.com/user/1247547868/playlist/7AvfjBMGuUC1ZCYn5nI4R4
1688,2017-04-24T09:59:41.829Z,Kilimanjaro,False,386746,playlist,
1689,2017-04-02T20:24:24.743Z,White Wedding,True,506226,playlist,
1690,2017-05-13T18:22:55.004Z,In The Wee Small Hours Of The Morning,False,193960,album,
1691,2017-06-27T12:45:33.453Z,Daws of Perception - Original Mix,False,401664,playlist,https://open.spotify.com/user/1166777603/playlist/78CnfaxoM4CZ3RJgZyj1HH
1692,2017-06-19T18:52:49.564Z,Insomnia,False,190773,playlist,https://open.spotify.com/user/spotify/playlist/37i9dQZEVXcGxnwyDbJhDT
1693,2017-05-18T09:43:20.429Z,It Takes Two,False,301893,playlist,
1694,2017-05-02T20:53:17.620Z,Black Market,False,390640,,
1695,2017-05-13T18:59:36.858Z,Blue And Sentimental,False,182200,album,
1696,2017-05-29T12:50:06.160Z,Apex,False,472108,album,https://open.spotify.com/album/0Gpzpr7DcOXAWM3lXUR1bP
1697,2017-06-24T18:18:54.053Z,They Don't Want,False,263721,playlist,https://open.spotify.com/user/1170891844/playlist/29XAftFCmwVBJ64ROX8gzA
1698,2017-06-10T10:02:28.149Z,Yellow Shoes,False,318167,playlist,https://open.spotify.com/user/1253842/playlist/5yb4olonApvaO9LlmQXS88
1699,2017-04-22T16:57:19.856Z,Root Down (And Get It) - Live,False,757013,playlist,
1700,2017-06-09T18:45:36.797Z,Someday - Club Mix,False,292973,artist,https://open.spotify.com/artist/4Q6nIcaBED8qUel8bBx6Cr
1701,2017-04-12T07:15:05.812Z,Psychotropical Nights - Sonic Species Remix,False,555235,,
1702,2017-04-08T18:30:53.726Z,Feel It Still,False,163250,playlist,
1703,2017-06-19T18:24:40.876Z,Hard Twelve - The Ante,False,240986,playlist,https://open.spotify.com/user/spotify/playlist/37i9dQZEVXcGxnwyDbJhDT
1704,2017-04-16T13:17:07.079Z,Jessie's Girl,False,192866,playlist,
1705,2017-06-27T03:18:12.504Z,NN3,False,539613,playlist,https://open.spotify.com/user/1247547868/playlist/7AvfjBMGuUC1ZCYn5nI4R4
1706,2017-05-27T15:58:16.507Z,Passionfruit,True,298940,playlist,
1707,2017-06-26T23:21:13.451Z,An Talamh,False,567000,playlist,https://open.spotify.com/user/1247547868/playlist/7AvfjBMGuUC1ZCYn5nI4R4
1708,2017-06-04T18:08:33.273Z,Come Get My Lovin',False,234400,album,https://open.spotify.com/album/2SRQRJDijX4d1KsVQjVFgP
1709,2017-04-14T15:23:50.591Z,Anyám Tyúkja,False,87500,playlist,
